태영,백승빈,오주연,A,차주형,최강민(차주형),강경민(차주형),지나가는 1학년이니???,한재원,박세윤,현채원,김도현,박준서인척하는 한재원과 박세윤
,하며 뒷짐지고 싸우는척 하는 웰빙 샛끼들 천지 삐까리란다.,진주네요...여기 동네에 잠시 살았는데...여기 주차 장난아닙니다.....그냥 욕만 나오죠...|0,Molcaparty,꼽추,,,"""꼴린다"",",Bangzi,개쉑이,개쉽,,
,저 상황에서 남 목숨 챙기는 병신새끼도있냐 ㅋㅋㅋㅋㅋㅋㅋ,대구경북 당선조건 : 매국노|1,Molca테이프,니에비 3cm,,,"""꼽냐"",",bbagoori,개쉑캬,개스끼,,
,ㄹㅇ 똑같은 업무지시를 해도 사람 진짜 존나 빡치게 만드는 재주가 있음,개찐따 답네 ㅋㅋㅋㅋㅋㅋ|1,Molca포르노섹스코리아,니꼬삼,,,"""꼽다"",",bbagury,개쉑키,개시키,,
,어째 재네들은 제대로된 놈이하나없어,노가다 다니기 싫으면 노력해서 살지 그랬냐 틀딱들아 ㅋㅋ니들 어릴적 꿈이 용접사였냐?상황이 ㅎㅌㅊ가 되니까 그나마 할만한 용접이나 한거고 하다보니 돈도 되고 존나 힘든데 보람도 느끼니까 사람된것처럼 느끼나 본데노가다는 노가다임 주제를 알고 살자|1,Molca포르노소라가이드,머머리,,,"""꼽사리"",",Bellend,개쉑히,개십새기,,
,걍 니뽕끼리 전국체전이나 해라 ㅋㅋ,피파 회장도 보냈잖아.|0,Molka섹스코리아,느금,,,"""꽂추"",",bitch,개쉢, 개십새끼,,
,틀딱이네 --- 먹을 나이 됐다,"우리나라였으면 남성1년 집해유예, 엄마 20년 때릴것같네요. 아님말구...|0",Molka코리아섹스,느비,,,"""꽂츄"",",blow job,개쉨,개쐑,,
,느개비 인증해라 엠생충새끼야 ㅋ빤스충 엠창새끼 ㅋ,와 석유 나는 나라의 위엄이 바로 저런거로구나. 근데 저런 선진국이 될수 있는 나라가 일부 새끼들이 그 부를 독점하려고 차도르 씌우고 전쟁광 놀음 하고 있는거잖여 |1,Mulyosex,좆년,,,"""냄비"",",Blowjob,개쉬끼,개씹,,
,장관 임명권은 대통령한테 있는데 저딴 종이조가리가 뭔 ㅋㅋㅋ 틀니 다 뽑아버릴라,가봤는데 11만원정도면 차라리 걍 호텔뷔페감호텔뷔페에 랍스터가없는것도 아니고 그냥그랫음|0,NEVER-SEX,부들부들거리노,,,"""녜미"",",bogy,개싀끼,개아들,,
,이란이 통제 당하고 있어서 시위하나 안날거라던 병신새끼들 어디갔노,나 안동김씨|0,OIO성인용품,야발,,,"""놈현"",",boji,개싘,개자슥,,
,철대패로 저놈들  흑두 네알 싺싹 밀어서모래밭에 파묻고 싶다가능하다면 동작동가서 두개골도 빠사버리고 싶음,새로오면 다 그렇게함 열심히 하는티를 팍팍내고 뭐 바꾸고 뭐하기로 하자 압박을 주잖냐 10년간 너무 타성에 젖어살았던거 아니냐? 위기감없이|0,OK성인용품,ㅆ발,,,"""뇬"",",bojy,개시퀴,개자지,,
,근데 찍어도 7등급 나오기 힘들다던데어케 해야 7등급 나오냐 ㅋㅋ씨발 그것도 대단하다,ㅂㄷㅂㄷ ㅋㅋㅋㅋㅋ 중국 욕하니 ㅂㄷㅂㄷ 하죠 ㅋㅋㅋㅋㅋㅋㅋㅋ|1,OK섹스SHOW,쓰발,,,"""눈까러"",",Bollocks,개시키,개접,,
,그래도이새끼..어느정도 친구에뜻을이해햇는지.. 친구들한테 그간미안햇다고 단톡날리며 집들이할테니 와달라고함..,정치인위에 문재앙 |1,PJ,쒸발,,,"""눈깔"",",Bougnoul,개십팔,개좆,,
,남편이 스시남이더만,오이 오이 아부네|0,PORNOBOZI,쑤발,,,"""눈깔어"",",bozi,개싯끼,개좌식,,
,7등급은 가르쳐서 되는 게 아님. 그냥 멍청한 학생이 안배우는 거임.그리고 그 전에 문과 1등급 vs 이과 7등급 이랬던거 보면 그냥 이과부심 부리면서 주제모르고 나대는 병신일 듯.,무게치는거에 인생버린새끼들|1,PORNO애니,니 엄마 9등금,,,"""뉘뮈"",",ⓑⓞⓩⓘ,개싯키,개허접,,
,ㅅㅂ 인구가 준다는데 수도권에 더 많이 살아. 좀 갈사람은 나가라. 특히 586세대들,빌런vs빌런|0,PleyboG,뷍알,,,"""뉘미럴"",",bozy,개싴,걔새,,
,아니 메시 허락은 안받고 아버지 허락을 처받고있냐 미친 양아치 새기네,저거 안비싸|0,Pleyboy,붸지,,,"""느금"",",bo지,개쌍넘,걔수작,,
,미친 짱깨년이 양키스 비니쓰고다니네 ㅋㅋㅋ,가세연에서 정규재 위장보수 분탕이라고 좆나깜 ㅋㅋㅋㅋㅋ |1,Porno바다,뉘미,,,"""느금마"",",Bullshit,개쌍년,걔시끼,,
,레아 미만잡 ㅋㅋ총밖에 못쓰는년이 공주지위 하나로 오더존나내림,수술도 남자 의사가 잘한다|0,SEXBBS,끄저,,,"""늬미"",",bunsec,개쌍놈,걔시키,,
,그래서? 잘생겼으니 인기끈거고 정치병 유투버도 아니고 지 능력으로 뜬건데 질투라도 해주길 바라냐?ㅋㅋㅋ,이봐요 미친놈씨|1,SEXEROS,좆,,,"""늬미럴"",",bunsek,개쌔,걔썌,,
,능지 병신들임 ㄹㅇ,그러나 그건 수치상일뿐 현실은 굉장히 망할 가능성이 높은 나라지|0,SEXJAPAN,앰이,,,"""니귀미"",",buttfuck,개쌔꺄,걸레,,
,김일성이 중국말 러시아말을 하는 조선족짱깨라메?? 그거 보고 충격먹음 시발 지금 우리가 중국이랑 싸우고 있다는 거자나,여자들 물뽕 처먹여 강간하고 동영상 찍은게 죄가 아니었구나 ㅋㅋ버닝썬이 중국 삼합회 자금 세탁소라면서?|1,SEXMOLCA,느걤,,,"""니기미"",",C8넘,개쌔끼,게색기,,
,결제한세끼들도 다 잡아족쳐야지,이게 여자다|0,SEXPDS,느애미,,,"""니미"",",C8년,개쌕,게색끼,,
,"몽골한테 ""최근에"" 250년간 지배당하고 집단강간을 당했는데 동양피가 하나도 안섞였다고 쌩어거지 떠는 초졸또라이보소 엌ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ. 니가 말하고도 너무 어거지라 좀 부끄럽지?? 엌ㅋㅋㅋㅋㅋㅋ",키 170 27살 따먹은여자 23명 ㅁㅌㅊ?|1,SEXWAREZ,야스,,,"""니미랄"",",C8놈,개쌕끼,광뇬,,
,씨벌련이 닉변하고 아침에 올린거 토씨하나 안바꾸고  그대-로 좆중복 조져버리네 씨벌련아 ㅁㅈㅎ,막상 마주치면 쫄보 새끼 마냥 쳐다도 못 볼 새끼가 조디만 살아가 ㅋㅋㅋ|1,SEXYMAP,갈비뼈 순서를 바꿔주겠다.,,,"""니미럴"",",C8뇬,개썅넘,구녕,,
,이참에 그년 보지나 용접해 버리자,저런 도로에서 정차 하는거 봤냐? 당연히 저상황이면 4p가 아니라 브렘보 조상님이 와도 못세움. 내말은 최소 50키로 이상은 달릴꺼라고 가정하고 같이 도로를 공유하는건데. 시발럼아 그리고 저 사고는 차간거리가 문제가 아니야. 정차가 불가능한 도로에서 선건데 씨발. 참고로 블박차도 무적권 과실은 잡힘. 내가 말하는 적당함이라는건 사회적으로 용납이 가능한 암묵적인 룰 같은거지|1,SEXYX,뇌에 우동사리가 꼈니?,,,"""니미씹"",",cabron,개썅년,구라,,
,곧 남자가 혼자 다 하겠네 ㅉㅉㅉ,백종원 음식 너무 자극적임|0,SEXY화상채팅,대갈장군,,,"""니아배"",",CARSEX,개썅놈,구멍,,
,술먹고 판사새끼 죽여도 무죄,거짓말아니고 소방관들 저런거 존나 흔하다내가 입 털어도 몇 명 구속되겠네개방관들 진짜 개새끼들임|1,SEX로리타,쓉뻘,,,"""니아베"",",Chink,개썅늠,그년,,
,와  최대1만명 수준이면 최소 몇천은 될것같은데....다 잡아서 콩밥은 무슨 자지다썰어야됨.,우스갯소리로 많이하던거니까|0,SEX섹스코리아,캐소리,,,"""니아비"",",ching,개썅연,그새끼,,
,홍어들은 씨를 말려야함,박정희만세 문재인 개새끼 김대중씨발새끼 전라도 폭동|1,SOSSEX,야쓰온더비치,,,"""니어매"",",chong,개쎅,냄비,,
,니 애가 불쌍타너욕하는게아니고 진심임애는 뭔죄냐,빠따로 전신마사지해주는데 모든사람들이 너무 기분좋았는지 엎드려서 잠만자더라|1,SexGoods,호로잦년,,,"""니어메"",",cipa,개쐐리,놈현,,
,와 이젠 일베할떄 위도 살펴봐야겟네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ경찰이 수습한다고 폰 주웟는데 일베틀어져있으면 ㅈ되겟다,1절만해라 짤게에 또 글올리지말고 ㅋㅋㅋ|1,SexPorno,지건,,,"""니어미"",",cipo,개쒜,뇬,,
,난 저러면 좆진지하게 말그대로 답변을 해줌,이만희총회장님께서 신천지구원으로 전세계에서 몰려 온다 하셨습니다.|0,Sexpia,대가리 박자,,,"""니엄마"",",cipsko,개쒜끼,눈깔,,
,씨이발,음.. 유튜브안하니?|0,Sexwal,꺼져,,,"""닚"",",Cock,개쒜리,뉘미럴,,
,일베는 뭐든지 다 깜 그냥 아가리로 까기만함 ㅋㅋㅋㅋ거기까지 만함 ㅋㅋ 행동 일절 노노 ㅋㅋㅋ,"누가 따라다니면서, 교통법규위반 계속 신고할듯.|0",Sexyadong,탈모년,,,"""닝기리"",",Cocksucker,개쒝,니귀미,,
,죽여버려야지 저런놈은,와 근데 너가 만약 짤같은 상황에서 성공하면 존나 꼴릴것같다.|1,TV플레이보이,지랄싼다,,,"""닝기미"",",comepoyas,개쒝갸,니기미,,
,진짜 본인애니보고 딸치게 생긴 씹덕 얼굴상 얼굴깐글에 욕도 박을수있으니 김치응딩이 ㅅㅌㅊ,극혐이노 ㅅㅂ ㅋㅋㅋㅋ|1,X등급,개같네,,,"""닥쳐"",",Connard,개쒝기,니미,,
,아가리가 왜저렇냐,난 야동도 교복입은건 안본다 에라이|0,YASATV,좆지랑,,,"""닥쵸"",",coño,개쒝꺄,니미랄,,
,난 재미교포 크리스리 그년은 진짜 느끼면서 하는년임,"띤도, 최서현 house party 추천 개띵곡|0",Yahanbozi,좆지랄,,,"""닭쳐"",",Cul,개쒝끼,니미럴,,
,복싱에선 여태 일본이 많이  쳐발렸다..,개우끼노ㅋㅋㅋㅋㅋㅋㅋㅋ|0,adult,염병,,,"""닶"",",Cunt,개쒝키,니미씹,,
,세스코도 졵나 감당안되는곳은 그냥 물건 싹다버리라거나 포기함,공지이잉 ㅅㅂㅋㅋㅋ|1,adultlife,병신,,,"""대가리"",",cval,개쒯,니아배,,
,엑소 중국놈들이 통수쳐서 그후로 sm에서 중국국적 제대로 안키우더만.  아무튼 아이돌 산업 그거 생 구라 아니냐. 저 새끼들 중에 안쳐대고 다니는 놈 없을걸.  저런데 돈 쓰는게 병신호구지.  유사 연애감정으로 돈 버는 주제에 한번에 임신에 결혼까지 해버리네.당연 팬들 입장에선 빡치지.  아무튼 이런걸 알아서인지 제대로 된 남자는 딱히 좋아하는 연예인 없음.,내말이 ㅋㅋ 아직 세상물정을 잘 모르는것 같더라...사회생활이 적었나..|0,adultvideo,염병신,,,"""대갈"",",czarnuch,개쒸,니아베,,
,이거  ㅇㅂ 주는새끼들좆뉴비새끼들이냐? 본거 또보고 또보고 꾸준히 쳐 올리네.좆망 병신 사이트 ㅉ,다른 건 그런데 문씨거는 감동이다|0,adultzon,니기미,,,"""뎡신"",",c발넘,개쒹기,니아비,,
,니 꼬치다ㅋㅋㅋ,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ ㄹㅇ|0,av섹스코리아,개썅,,,"""도라이"",",c발년,개씌끼,니어매,,
,꼬시다 꼬수워노가다 세끼들 제발 좌파해라 쪽팔린다,강력계 뽑을 때 유도국대출신들 특채 있다 무도특채. 그리고 강력계 들어가면 스스로 권투도장 다님. 아참 레슬링선수출신 특채도 있었음|0,awoodong,똥싼다 병신새끼,,,"""돈놈"",",c발놈,개씨끼,니어메,,
,땅콩  사무장양반   중간에   낑기게  한게  더얄미움,시스템은? 다 지 좆꼴리는대로 무법천지지|1,backbojytv,tR,,,"""돌아이"",",c발뇬,개씨발,니어미,,
,어휴 조선 새끼들은 그저 꼬투리 잡는건 기집이나 사내 새끼들이나 똑같다. 왠만하면 하는게 용접이니  비유를 한거 가지고 아직도 이지랄들을 하고 자빠졌네,적당히를 넘어 꽐라될때까지 마셔서 문제지|0,bbagury,ㅅㄲ,,,"""돌은놈"",",c발섹,개씨팕,닝기리,,
,개소리ㅁㅈㅎ,새벽 2시 반에 고소장 제출이 가능한 나라가 세상에 어디있냐|0,bestbozi,버러지,,,"""되질래"",",c발쉑,개씹,닝기미,,
,좀 그만해라 씨발새끼들아ㅋ,창의력 인정|0,binya,벌레년,,,"""뒈져"",",c벌넘,개씹창,대가리,,
,기승전 베들베들 목적에 충실한 벌레구더기,일베새끼들은 그냥 무식한거 맞네 ㅋㅋ|1,byuntaesex,,,,"""뒈져라"",",C벌년,개씹팔,뎡신,,
,나잇값 못하는 발기부전 땅꼬마,내가 시키는거 가능? 닭 병신 종북짓한 병신 ㅇㅇ 해봐 ㅋㅋㅋ|1,carporno,,,,"""뒈진"",",c부랄,개자슥,도라이,,
,씨발년아 웃겨?,꺼져라 씨발 검머외 새끼들아|1,carsex,,,,"""뒈진다"",",c불넘,개자싁,돈놈,,
,주민들한테 삽으로 머리를 내리 찍혀야 정신을 차릴려나,"저 사건 판결문 찾아서 봐라 4,000만원 정도 지급 명령 받았음법원이 그렇게 판결 냈다는데 왜 니가 아니라함?니가 노동부 장관이라도 됨?|0",clubero,,,,"""뒈질"",",c불놈,개자식,돌아이,,
,그 연장선에서 박사모틀딱을 다 죽여야 그게 보수가 사는 가장 중요한거임 ㅋㅋ 설명하자면 길어지는데 암튼 틀틀거리는거는 잘못 아님,나도 존나맛없어서 다 버리고 햄버거 시킨거 리뷰 올린적 있는데? 내꺼 찾아서 보내도 레전드겠노ㅋㅋㅋㅋ씨발 맛없는 음식점은 다 장사접고 나가 죽어야함|1,condom,,,,"""뒤질래"",",c불늠,개자지,돌은놈,,
,저기 올라오는거 99프로가 소설인데 그걸 또 사실인냥 믿고 퍼오는 새끼는 뇌가 있는새끼냐 이런새끼가 민좆당 뽑는 새끼들임 ㅁㅈㅎ,"난 프라이드 즐겨봤는데ㅋㅋ 사쿠라바, 고미 다카노리, 반달레이 실바, 노게이라 등등 개추억이네ㅋㅋㅋ 연말에 남제? 이런거로 빅매치뜨고|0",cosex,,,,"""등신"",",c블넘,개젓,되질래,,
,좆병신 새끼면 담부터 너한테 지랄 못한다,눈주변 시컴한 인간들치고 정상인 없더라 |1,cosex.net,,,,"""디져라"",",c블놈,개젖,뒈져,,
,베댓 댓글은 틀딱일베라며 욕함,대가들...|0,damoimsex,,,,"""디진다"",",c블늠,개졋,뒈져라,,
,책읽어주는것도아니고 지식니열해서 별로든데 . 애도 홍어아니냐,대가리를 밟혀봐야 정신드는 유형|1,enterchannel,,,,"""디질래"",",c빨넘,개졎,뒈진,,
,"도끼로 마빡을 걍.,...",왜 연돈만 저지랄이냐? 예전에 그 튀김덮밥집도 존나 칭찬했는데 거기도 줄서냐|1,ero2030,,,,"""딩시"",",Dick,개조또,뒈진다,,
,"<포춘(Fortune)> 하면 가장 먼저 떠오르는 것은 매년 발표되는 ‘미국 상위 500대 기업’, ‘세계 상위 500대 기업’ 등의 기업 순위일 것이다 --------------> 벌레들 포춘 모를까봐 직접 복 붙 한다.. 정말 우리 나라는 최고다라는 말도 부족하다",굳이 한자까지 섞어서 글올리는이유가 머냐ㅋㅋㅋ|0,ero69,,,,"""따먹"",",dog새,개조옷,뒈질,,
,입만 벌리면 구라.,그 쪽도 매일 그러잖아요. 공적 마스크 시행한다니까 바로 사회주의 타령. |0,eroasia,,,,"""따식"",",Drecksau,개족, 뒤질래,,
,이로서 신라젠은 백퍼네 유사시민새끼가 설쳐되는 이유도 나왔고,심해공포증은없는데 우주공포증있음|0,erocine,,,,"""딸딸이"",",drecksjude,개좆,등신,,
,"시발 이제 만물 김무성이냐, 좌파 새끼들 만물 이명박과 똑같노",아~~ 짭ㅈㅎ주고싶다 |0,erosasia,,,,"""때놈"",",D랄,개지랄,디져라,,
,조선 수준나옴 힘들게 일하면 대우받는게 당연한건데,서울은 조선족이 몰리는곳|0,erosian,,,,"""또라이"",",encular,개후레,디진다,,
,아줌마? ㅋ 어캐 됨? ㅋㅋㅋ 아직 이야? ㅋㅋㅋㅋㅋㅋㅋㅋ 또 빤스런 ? ㅋㅋㅋㅋ,ㄹㅇ ㅇㅂ|0,erostyle,,,,"""똘기"",",Enculé,개후장,디질래,,
,잠바? 틀딱 ㅇㅂ,화산지형이라 나쁘진 않을껄? 강수량 많아서 물 좋음...|0,fetish,,,,"""똘아이"",",Endlösung,거시기,딩시,,
,좆문가 맞아여...,전라남도 안정권 홍어새끼 좆이나 빠는새끼가 가세연을 까노 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ|1,fetish7,,,,"""똘추"",",Endsieg,겁탈,따식,,
,벙.신같은게 프로토가 어째 단폴만되냐?개.벙신아 무슨 사설하냐?,선동질 당하는 니네가 불쌍타 ㅠ|1,fetishwoman,,,,"""뙈놈"",",facha,게넘,때놈,,
,끝난건아는데 다시보고또보고 이지랄하길래요..,제발 못배운티좀 내지말아라|1,gabozi,,,,"""뙤놈"",",Faggot,게년,또라이,,
,니 아들래미가 술쳐먹고 아이들 치고 뺑소니 치는건데 실행 불가능한거 아니냐?,2016년 12월 기사를 가져와서 올려놨으면 그 이후 어떻게 되었는지 설명이라도 좀..|0,gagasexy,,,,"""뙨넘"",",falangista,게놈,똘아이,,
,외국기자들은 자기한테 관심 좆도 없는거 아니까김치기자들 어딨나 찾아보고있노 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,아니 시발 이걸 정보라고|1,goadult,,,,"""뙨놈"",",fascista,게뇬,똘아이,,
,러시아인을 동양계라는 병신년은 진짜 처음 본다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,정신 못차렸네|0,gocinepia,,,,"""뚜쟁"",",Fellatio,게뇽,뙈놈,,
,지랄 10만원은 해야지,자원으로 연명하는 나라라서 교육수준이 ㄱㅆㅎㅌㅊ임|1,gojasex,,,,"""띠바"",",Ferme ta gueule,게눔,뙤놈,,
,지네엄마 소개하고잇노 ㅋㅋㅋ,굴다리밑 아들 국적이 ㅋㅋㅋㅋ|0,hidden-korea,,,,"""띠발"",",fick dich,게새끼,뙨넘,,
,내용에 돈벌이 내용이 나오길래..선정도가 아니라 그거도그냥 범죄니까 사장새끼 18년형,할마시들이 가져가겠지|0,hiddencam,,,,"""띠불"",",Fils de pute,게새리,뙨놈,,
,키스해서 빼줘야자,ㄴㄴ 외모가 전부는 아니라고 생각함|0,hotbojy,,,,"""띠팔"",",Fiucie,게색,뚜쟁,,
,길냥이가 살아봤자 얼마나살겠노.ㅠ 잘해주진 못해도 괴롭히진말자 게이들아 ㅠ,필리핀은 아예 경찰이 돈을 갈취함 ㅋㅋㅋㅋ|0,hotsex,,,,"""랄지"",",Fiut,게색기,띠바,,
,일베에서 틀딱거리는 새끼들 = 전라도 대깨문 평균나이 50대이상지들이 노인인 줄 모르고 애들 노는데서 틀틀 거리는 거 존나 웃김ㅋㅋ,개븅신 저능아는 너고 이 병신 새끼야 ㅋㅋㅋㅋㅋㅋㅋㅋ|1,hotsexkorea,,,,"""로리"",",follada,게색끼,띠발,,
,창렬이노,뭐 10조쯤은 껌으로 땅사는 기업도 있는데....|0,ilovesex,,,,"""메친넘"",",Fook,게세,띠불,,
,"평균 학력 고졸따리, 양아치 새끼들 상대하려니까 개빡쳤나보네",고참이 딸려들어간 스티로폼 씹을 때마다 희열을 느끼는 거야 ?|0,joungyang,,,,"""메친놈"",",Fotze,게세꺄,띠팔,,
,중하위권은 일본애들 많이 꼽아주고 좁밥 좀 많았음,딴따라들 노가다 딱한번 뛰고오면 자살같은건 배부른걸 느낄건데|1,jungyang,,,,"""미췬"",",Foutre,게세끼,메친넘,,
,괴물 같은 소리한다데모 안 하고 공부하면 괴물이냐?ㅋㅋㅋ,연초밥|0,kgirlmolca,,,,"""미친"",",foyada,게섹,메친놈,,
,"그말도 맞지, 상류층의 개보지와 하층민의 처녀가 동급수준으로 귀하니까",대하이햄만 찾으면 협상 OK|0,kingsex,,,,"""미친넘"",",Fuck,게쉐,미췬,,
,그래도 좌제동은 성공회대 신방과로 세탁했으니,어차피 여자는 성공한 남자의 전리품에 불과하다 |1,ksex,,,,"""미친년"",",Führer,게쉐이, 미췬,,
